ALG,DAAG
AAE,DABB
BLJ,DABT
BJA,DAAE
CFK,DAOI
CZL,DABC
GJL,DAAV
ORN,DAOO
BSK,DAUB
QSF,DAAS
TLM,DAON
HBE,HEBA
ALY,HEAX
ATZ,HEAT
ASW,HESN
CAI,HECA
SPX,HESX
AAC,HEAR
DBB,HEAL
HRG,HEGN
LXR,HELX
RMF,HEMA
MUH,HEMM
SKV,HESC
SSH,HESH
HMB,HEMK
TCP,HETB
BEN,HLLB
SEB,HLLS
TIP,HLLT
MJI,HLLM
AGA,GMAD
CMN,GMMN
FEZ,GMFF
RAK,GMMX
NDR,GMMW
OZZ,GMMZ
OUD,GMFO
RBA,GMME
TNG,GMTT
TTU,GMTN
VIL,GMMH
EUN,GMML
KRT,HSSS
PZU,HSPN
DJE,DTTJ
NBE,DTNH
MIR,DTMB
SFA,DTTX
TBJ,DTKA
TOE,DTTZ
TUN,DTTA
COO,DBBB
BOY,DFOO
OUA,DFFD
BVC,GVBA
SID,GVAC
RAI,GVNP
VXE,GVSV
ABJ,DIAP
BJL,GBYD
ACC,DGAA
KMS,DGSI
TKD,DGTK
NYI,DGSN
HZO,DGAH
WZA,DGLW
TML,DGLE
CKY,GUCY
OXB,GGOV
ROB,GLRB
BKO,GABS
NKC,GQNO
NDB,GQPP
ATR,GQPA
NIM,DRRN
ABV,DNAA
CBQ,DNCA
ABB,DNAS
KAN,DNKN
LOS,DNMM
PHC,DNPO
ENU,DNEN
SKO,DNSO
HLE,FHSH
DSS,GOBD
FNA,GFLL
LFW,DXXX
LAD,FNLU
SDD,FNUB
DLA,FKKD
NSI,FKYS
BGF,FEFF
NDJ,FTTJ
GOM,FZNA
FIH,FZAA
FKI,FZIC
FBM,FZQA
BZV,FCBB
PNR,FCPP
SSG,FGSL
MVB,FOON
LBV,FOOL
POG,FOOG
TMS,FPST
GBE,FBSK
MUB,FBMN
FRW,FBFT
BBK,FBKE
SHO,FDSK
MSU,FXMM
WDH,FYWH
WVB,FYWB
BFN,FABL
CPT,FACT
DUR,FALE
ELS,FAEL
JNB,FAOR
HLA,FALA
MQP,FAKN
PTG,FAPP
BJM,HBBA
HAH,FMCH
JIB,HDAM
ASM,HHAS
ADD,HAAB
DIR,HADR
EDL,HKEL
MBA,HKMO
KIS,HKKI
NBO,HKJK
TNR,FMMI
DIE,FMNA
MJN,FMNM
NOS,FMNN
TMM,FMMT
FTU,FMSD
TLE,FMST
BLZ,FWCL
LLW,FWKI
MRU,FIMP
DZA,FMCZ
MPM,FQMA
BEW,FQBR
INH,FQIN
APL,FQNP
POL,FQPB
TET,FQTT
VNX,FQVL
RUN,FMEE
KGL,HRYR
SEZ,FSIA
BSA,HCMF
GLK,HCMR
GGR,HCGR
